,x,y
0,6.2038565,8.341898
1,3.8082004,6.219657
2,6.1914053,8.485821
3,1.4852086,8.379649
4,5.714637,7.0535526
5,5.864232,9.140639
6,5.236927,12.789077
7,4.799132,8.603653
8,5.734064,9.7972975
9,1.460894,8.186446
10,1.8760725,6.1352963
11,3.6268826,4.919077
12,1.6988444,6.7249494
13,3.5444038,6.5137453
14,5.596132,6.8995924
15,3.5817997,5.3172297
16,5.328738,6.670481
17,2.5531092,6.756157
18,4.152557,10.856906
19,5.078573,10.97139
20,2.8739371,8.429004
21,6.4463854,12.310199
22,6.0964603,8.9798155
23,6.9311905,10.558434
24,5.405682,6.925176
25,3.0649428,8.208177
26,5.1954722,10.481701
27,5.6699924,14.431241
28,2.8835104,7.8588967
29,6.842453,13.664806
30,6.069822,9.789878
31,5.389472,7.15987
32,2.979966,5.2545853
33,5.0547576,11.891911
34,5.590995,14.446851
35,3.1169465,9.721327
36,5.821325,14.674498
37,3.3334823,5.2676396
38,3.6366081,5.6767516
39,7.043202,10.468833
40,5.6205883,6.976084
41,6.1835084,13.885155
42,6.9730053,10.253287
43,6.762202,9.594639
44,6.082107,12.874692
45,1.897485,8.802455
46,5.495663,13.486012
47,2.6857848,7.6494207
48,5.907821,11.679967
49,3.8697464,11.556204
50,5.105441,11.187476
51,5.248974,7.468332
52,6.732941,9.965837
53,4.9226146,10.923541
54,1.6829056,7.0861654
55,6.3343635,8.524746
56,1.6650572,8.396489
57,4.1279316,6.2865973
58,3.732852,10.823447
59,5.9385743,12.512019
60,5.5664644,6.82287
61,2.574528,7.32792
62,5.6534534,11.4840765
63,2.7448711,9.184427
64,2.790938,6.236214
65,6.2656345,13.433886
66,6.9495854,13.543807
67,2.5955193,7.4643707
68,3.6613357,10.840612
69,5.829536,14.448507
70,6.2782564,14.25032
71,6.206472,14.289929
72,5.618974,12.714676
73,1.5029579,6.8140955
74,3.132529,10.021444
75,3.5262227,10.566179
76,2.0596569,5.9520984
77,1.5831784,8.388245
78,7.050907,10.196604
79,3.0771818,10.125715
80,6.122579,8.864838
81,6.5465302,10.464083
82,6.7190266,10.891844
83,4.5148416,7.9363656
84,3.4064271,5.8273873
85,3.39152,6.183104
86,3.6751325,5.5460114
87,2.7586136,7.504548
88,2.4097235,9.168294
89,4.7281666,10.737572
90,6.4724436,13.51087
91,6.759942,10.476598
92,3.4994013,11.205807
93,6.3740125,8.742665
94,5.34383,9.113961
95,3.6389232,11.13752
96,1.728735,6.2420793
97,6.289138,13.019112
98,1.5185381,7.983595
99,6.706321,9.776239
100,2.7692018,6.85731
101,3.8481107,5.8997736
102,5.8822474,8.019549
103,4.893289,13.2417145
104,1.287731,6.805289
105,6.341849,12.810487
106,6.790186,10.349787
107,5.465886,14.349024
108,2.7368832,9.062043
109,3.3878827,5.7456
110,5.715964,11.248428
111,2.5835376,6.78275
112,5.907711,7.693225
113,5.080002,13.227622
114,5.579397,7.255093
115,6.51157,9.774432
116,5.7108765,8.134485
117,1.8609059,7.5532937
118,3.863638,10.962403
119,3.0255249,9.60381
120,1.3391293,8.061723
121,3.1390357,8.559583
122,2.2854857,8.723873
123,4.4125333,11.9743395
124,5.0696297,10.438374
125,3.8669174,10.302569
126,5.5122623,12.80598
127,3.6213949,6.3331413
128,4.5965137,12.329327
129,4.7121553,12.021822
130,5.5170445,11.298021
131,6.370669,9.726186
132,5.794977,11.78066
133,2.6961362,7.3149023
134,5.9324117,12.852361
135,5.3436832,7.4991465
136,5.02458,13.011947
137,6.1769924,11.880328
138,1.9151074,8.382276
139,6.4301953,10.081138
140,1.5524471,7.8692975
141,3.6570678,10.541721
142,6.8307257,9.680456
143,6.8072963,13.718818
144,1.5563387,6.420978
145,5.154994,9.10639
146,5.2733502,10.902317
147,1.3968061,8.075341
148,2.0419676,8.8454485
149,6.2242684,11.787364
150,1.9108788,5.8177447
151,4.9714456,6.9128704
152,6.3234053,13.295402
153,5.7366343,7.683996
154,5.557439,10.897881
155,1.9960433,7.784027
156,6.9245963,13.598702
157,6.4486513,9.075078
158,3.962871,8.048936
159,2.8035984,5.430929
160,2.9619133,8.5863905
161,1.7940679,5.850239
162,1.4766004,6.5406623
163,3.9791138,11.517788
164,2.2807703,8.461783
165,4.086962,10.604841
166,2.7905185,7.248169
167,5.4911566,9.843028
168,6.5442543,9.490686
169,3.62381,4.9462028
170,3.7400744,4.9847107
171,1.8309274,5.8743205
172,6.217019,13.851039
173,4.7469745,8.670102
174,6.1956215,12.084183
175,6.9162087,13.134759
176,4.823521,11.772296
177,5.680906,7.5776553
178,6.923353,9.983452
179,5.033371,13.259462
180,2.0819108,7.67565
181,3.8821955,11.655357
182,6.153796,13.481092
183,3.4759989,4.9891863
184,5.606415,10.726711
185,3.9445143,11.201622
186,3.3923974,10.380023
187,3.4704976,6.5417013
188,1.4515864,6.1746073
189,3.5694714,5.587966
190,1.9237134,6.502593
191,2.5135517,9.312109
192,1.5600985,8.051668
193,5.1185627,12.9465275
194,1.4545312,8.333353
195,2.7147012,7.442364
196,2.8129315,6.544396
197,1.963364,6.3520517
198,1.4473883,6.322804
199,1.3341885,6.5830383
200,4.5005674,11.030181
201,4.4800653,12.261396
202,5.7627287,7.4015117
203,6.0372553,14.4703245
204,3.5317225,5.7793846
205,2.7387748,9.409989
206,4.3515024,8.770387
207,6.230987,13.461441
208,5.184013,13.391206
209,3.3944216,8.224411
210,6.0372906,12.966863
211,1.9645382,6.21323
212,3.527161,11.315557
213,4.5819745,7.9801517
214,6.2982965,13.983338
215,2.2725604,6.08593
216,6.7565885,13.818886
217,1.3432622,6.3312826
218,5.537004,12.3451605
219,4.5163026,11.853297
220,4.400926,7.1022654
221,5.8161163,12.84104
222,3.6616502,11.090153
223,4.974688,13.296031
224,5.714245,7.5789924
225,5.601732,14.48119
226,3.6714723,5.547825
227,5.148957,9.450019
228,6.997644,10.574093
229,4.062777,10.69804
230,5.7035794,12.51988
231,4.676708,7.2927613
232,4.156166,7.592852
233,5.6450744,14.541712
234,5.0362587,7.5517726
235,1.5661347,8.350326
236,2.856628,8.007025
237,2.462311,8.139656
238,5.616808,13.552374
239,1.7475435,8.336837
240,5.4070463,10.9494705
241,5.1419744,9.296191
242,5.6097956,9.991673
243,3.0309975,7.9600844
244,5.2170563,9.353092
245,1.3817096,6.6932187
246,3.9995832,11.920184
247,4.6745453,6.6555157
248,4.0103674,10.88063
249,5.9267073,14.124444
250,6.0930157,13.983757
251,3.8659902,7.948785
252,5.4551983,12.764248
253,5.4186215,6.8024106
254,4.395761,11.999328
255,6.933779,13.544523
256,6.648908,9.9674
257,1.967192,5.8758416
258,3.5053978,5.5295053
259,5.8064218,14.527021
260,6.3370967,8.624986
261,5.4770503,12.675999
262,3.777879,5.275786
263,5.7831383,7.3237314
264,6.137578,8.3326235
265,6.7675934,10.202955
266,6.871017,13.614882
267,3.3727498,5.814303
268,5.005738,9.03082
269,5.5394692,12.550695
270,5.3577676,7.395883
271,3.1754076,8.375406
272,5.5681057,10.854583
273,6.830124,9.889909
274,2.4837735,6.594231
275,3.7104592,5.016395
276,3.6118848,11.340484
277,2.7952292,5.3481
278,5.672141,10.016579
279,1.6598891,8.045544
280,4.8095684,10.508273
281,2.63619,9.196179
282,1.310412,6.5650697
283,6.174986,14.362101
284,6.3641477,9.4352
285,3.2643013,9.922701
286,6.1410236,11.851604
287,6.4572706,9.754981
288,3.8796382,10.672557
289,3.075019,9.093899
290,6.014373,13.393181
291,4.929631,13.218549
292,3.7394753,11.453276
293,5.6822414,9.578254
294,6.112136,9.029771
295,5.740295,13.751636
296,6.462589,13.999077
297,3.1318681,5.248372
