,timestamp,face_id,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
28,0.561,0,141,0.09699999999999999,0.039,-0.049,-0.131,-0.115,2.86,2.94,0.36,3.79,0.43,0.0,0.69,0.0,0.0,0.0,1.38,0.1,0.0,0.28,1.16,0.64,0.0
29,0.632,0,141,0.09,0.035,-0.055999999999999994,-0.11900000000000001,-0.115,2.73,3.2,0.35,3.61,0.5,0.0,0.9,0.0,0.0,0.0,0.25,0.0,0.0,0.1,1.19,1.42,0.0
30,0.7020000000000001,0,141,0.07400000000000001,0.022000000000000002,-0.076,-0.10099999999999999,-0.10099999999999999,2.31,3.54,0.69,3.95,0.6,0.45,0.83,0.0,0.0,0.0,0.44,0.0,0.0,0.0,1.19,1.16,0.0
31,0.772,0,141,0.066,-0.002,-0.11,-0.10099999999999999,-0.073,2.52,3.48,0.33,4.0,0.55,0.0,0.57,0.0,0.0,0.0,0.54,0.46,0.0,0.4,1.08,0.88,0.0
32,0.8420000000000001,0,141,0.06,-0.016,-0.125,-0.102,-0.057999999999999996,2.5,3.75,0.2,4.51,0.71,0.0,0.66,0.0,0.21,0.0,0.52,0.65,0.0,0.58,0.89,1.39,0.0
33,0.912,0,141,0.057999999999999996,-0.027000000000000003,-0.136,-0.10400000000000001,-0.049,2.37,3.41,0.52,4.73,0.85,0.0,0.63,0.0,0.17,0.0,0.33,0.7,0.0,0.51,0.89,1.2,0.0
34,0.982,0,141,0.052000000000000005,-0.033,-0.146,-0.095,-0.048,2.28,3.25,0.04,4.4,0.75,0.0,0.9,0.0,0.07,0.0,0.64,0.62,0.0,0.76,0.85,0.33,0.0
35,1.053,0,141,0.043,-0.039,-0.155,-0.078,-0.048,2.25,3.53,0.38,4.5,0.81,0.0,0.79,0.0,0.04,0.0,0.45,0.37,0.0,0.49,1.05,0.67,0.0
36,1.123,0,141,0.035,-0.04,-0.156,-0.065,-0.046,2.05,3.55,0.28,4.29,0.85,0.0,0.48,0.0,0.24,0.0,0.67,0.46,0.0,0.54,0.94,0.77,0.0
37,1.193,0,141,0.024,-0.049,-0.16399999999999998,-0.047,-0.045,2.31,3.71,0.49,4.39,0.97,0.0,0.52,0.0,0.22,0.0,0.29,0.67,0.0,0.41,1.0,0.4,0.0
38,1.263,0,141,0.01,-0.051,-0.17,-0.025,-0.042,2.62,3.94,0.51,4.2,0.95,0.0,0.56,0.0,0.39,0.0,0.48,0.62,0.0,0.73,0.85,0.34,0.0
39,1.3330000000000002,0,141,0.004,-0.055999999999999994,-0.17300000000000001,-0.013000000000000001,-0.042,2.21,3.71,0.52,4.8,1.07,0.0,0.22,0.0,0.2,0.0,0.5,0.5,0.0,0.5,1.1,0.46,0.0
40,1.4040000000000001,0,141,-0.001,-0.061,-0.18100000000000002,-0.006,-0.043,2.6,3.75,0.29,3.87,0.73,0.0,0.39,0.0,0.18,0.0,0.32,0.21,0.0,0.46,1.16,0.59,0.0
41,1.474,0,141,-0.009000000000000001,-0.062,-0.183,0.005,-0.045,2.79,3.68,0.24,4.3,0.86,0.0,0.3,0.0,0.36,0.0,0.42,0.0,0.0,0.27,1.03,0.24,0.0
42,1.544,0,141,-0.017,-0.07,-0.196,0.018000000000000002,-0.040999999999999995,2.63,3.61,0.59,4.04,0.73,0.0,0.22,0.0,0.27,0.0,0.26,0.31,0.0,0.49,1.01,0.05,0.0
43,1.614,0,141,-0.017,-0.075,-0.198,0.019,-0.043,2.77,3.79,0.6,3.98,0.63,0.0,0.21,0.0,0.24,0.0,0.81,0.38,0.0,0.35,1.05,0.85,0.0
44,1.6840000000000002,0,141,-0.026000000000000002,-0.083,-0.21,0.034,-0.040999999999999995,2.54,3.6,0.91,3.74,0.81,0.0,0.1,0.0,0.31,0.0,0.47,0.92,0.0,0.78,0.89,0.0,0.0
45,1.754,0,141,-0.033,-0.083,-0.21,0.047,-0.045,2.9,3.81,0.36,4.02,0.94,0.0,0.03,0.0,0.31,0.0,0.46,0.31,0.0,0.19,1.06,0.0,0.0
46,1.825,0,141,-0.038,-0.091,-0.223,0.057,-0.046,2.89,3.77,0.46,4.15,0.78,0.0,0.0,0.0,0.57,0.0,0.52,0.7,0.0,0.72,1.05,0.05,0.0
47,1.895,0,141,-0.039,-0.08900000000000001,-0.222,0.06,-0.044000000000000004,2.31,3.43,0.29,4.32,0.75,0.0,0.0,0.0,0.4,0.0,0.49,0.25,0.0,0.54,0.96,0.0,0.0
48,1.965,0,141,-0.040999999999999995,-0.098,-0.235,0.065,-0.043,2.74,3.87,0.47,3.94,0.84,0.0,0.04,0.0,0.51,0.0,0.7,0.03,0.0,0.81,1.08,0.0,0.0
49,2.035,0,141,-0.038,-0.099,-0.23399999999999999,0.059000000000000004,-0.05,2.57,3.81,0.38,4.49,0.87,0.0,0.0,0.0,0.51,0.0,0.53,0.03,0.0,0.83,1.09,0.02,0.0
50,0.0,0,169,0.004,0.126,0.03,0.002,0.096,0.17,0.02,0.54,0.21,0.17,0.0,0.31,0.26,0.0,0.0,0.22,0.0,0.82,0.0,1.03,0.0,1.14
51,0.1,0,169,0.001,0.109,0.01,0.006999999999999999,0.08900000000000001,0.0,0.0,0.6,0.42,0.0,0.0,0.0,0.35,0.0,0.0,0.68,0.04,0.6,0.0,0.81,0.0,1.2
55,0.5,0,169,0.004,0.122,0.034,0.001,0.10099999999999999,0.19,0.15,0.74,0.91,0.0,0.0,0.11,0.0,0.0,0.0,0.46,0.0,0.85,0.0,0.49,0.0,1.16
56,0.6,0,169,0.006999999999999999,0.13699999999999998,0.061,-0.0,0.085,0.0,0.23,0.3,0.13,0.0,0.0,0.19,0.0,0.0,0.0,0.9,0.22,0.96,0.0,0.87,0.02,0.81
59,0.8,1,169,-0.001,0.235,0.153,0.004,0.095,0.16,0.1,0.39,0.49,0.0,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.73,0.0,0.71,0.0,0.87
61,0.9,1,169,-0.001,0.23399999999999999,0.146,0.006999999999999999,0.09699999999999999,0.63,0.53,0.26,0.32,0.02,0.0,0.08,0.29,0.0,0.0,0.67,0.15,0.8,0.0,0.93,0.0,1.08
63,1.1,1,169,0.002,0.179,0.105,0.002,0.096,0.03,0.31,0.58,0.0,0.0,0.0,0.2,0.04,0.0,0.0,0.58,0.0,0.64,0.0,1.01,0.24,0.89
66,1.4,1,169,-0.009000000000000001,0.11,0.006999999999999999,0.004,0.105,0.09,0.36,0.61,0.13,0.0,0.0,0.3,0.2,0.0,0.0,0.71,0.0,0.17,0.0,1.06,0.0,1.06
73,2.4,0,169,-0.006999999999999999,0.096,-0.025,-0.016,0.126,0.0,0.13,2.17,0.95,2.31,2.39,1.47,1.57,0.69,0.0,0.62,0.0,0.0,0.0,2.11,0.0,0.0
74,2.5,0,169,-0.003,0.124,0.005,-0.025,0.14300000000000002,0.0,0.14,2.04,0.96,2.17,1.13,1.68,1.44,0.85,0.0,0.97,0.0,0.0,0.0,1.71,0.45,0.0
75,2.6,0,169,-0.002,0.127,0.015,-0.025,0.151,0.0,0.47,2.28,1.63,2.16,1.86,1.73,1.57,0.82,0.0,1.11,0.0,0.0,0.0,1.49,0.19,0.0
76,2.7,0,169,-0.0,0.128,0.013999999999999999,-0.031,0.157,0.02,0.25,2.32,1.19,2.26,1.28,1.79,1.22,0.99,0.0,1.06,0.0,0.0,0.0,1.6,0.41,0.0
77,2.8,0,169,0.002,0.122,0.013000000000000001,-0.038,0.158,0.0,0.09,2.61,0.88,1.97,1.64,1.84,1.31,0.85,0.0,1.04,0.0,0.0,0.0,1.88,1.11,0.0
78,2.9,0,169,0.002,0.122,0.012,-0.038,0.157,0.0,0.03,2.76,1.04,2.05,1.58,1.99,1.88,0.91,0.0,0.95,0.0,0.0,0.0,1.82,1.02,0.0
79,3.0,0,169,0.0,0.12,0.01,-0.038,0.153,0.01,0.06,2.8,1.14,1.83,1.49,1.71,1.9,0.82,0.0,0.86,0.0,0.0,0.0,1.77,0.92,0.0
80,3.1,0,169,-0.001,0.115,0.002,-0.037000000000000005,0.152,0.0,0.0,2.93,0.98,2.24,2.07,2.07,1.72,1.04,0.0,0.83,0.0,0.0,0.0,2.07,0.28,0.0
81,3.2,0,169,-0.003,0.114,0.002,-0.032,0.155,0.0,0.0,2.87,1.12,1.91,1.57,1.87,2.08,1.06,0.0,0.92,0.0,0.0,0.0,2.06,0.93,0.0
83,0.09,0,97,-0.303,0.26899999999999996,0.264,0.446,-0.191,0.0,0.0,0.04,0.98,0.0,0.0,0.0,0.07,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.09,0.05
84,0.18,0,97,-0.37,0.33899999999999997,0.365,0.539,-0.252,0.0,0.0,0.19,0.28,0.0,0.0,0.0,0.83,0.0,0.0,0.73,0.0,0.0,0.0,0.21,2.1,0.24
85,0.271,0,97,-0.436,0.381,0.444,0.635,-0.309,0.0,0.0,0.69,0.04,0.0,0.02,0.11,0.92,0.0,0.76,1.43,0.05,0.0,0.0,0.52,0.59,0.12
86,0.361,0,97,-0.461,0.392,0.47700000000000004,0.6779999999999999,-0.303,0.0,0.0,0.38,0.04,0.0,0.27,0.09,0.44,0.0,0.48,1.26,0.81,0.0,0.0,0.95,3.24,0.0
87,0.451,0,97,-0.47700000000000004,0.39,0.47,0.693,-0.284,0.0,0.0,0.6,1.11,0.0,0.75,0.42,0.92,0.0,0.5,1.95,0.71,0.0,0.57,0.02,0.0,0.12
88,0.541,0,97,-0.474,0.37799999999999995,0.452,0.6829999999999999,-0.255,0.0,0.0,0.4,1.01,0.0,0.3,0.5,0.76,0.0,0.68,2.44,0.97,0.0,0.77,0.0,0.22,0.0
89,0.632,0,97,-0.46399999999999997,0.364,0.43,0.66,-0.225,0.0,0.0,0.56,1.01,0.03,0.6,0.69,0.48,0.0,0.0,1.84,1.1,0.0,0.51,0.0,0.67,0.0
90,0.722,0,97,-0.45,0.355,0.413,0.633,-0.204,0.0,0.0,0.78,1.11,0.0,0.24,0.82,0.5,0.0,0.0,1.74,1.12,0.0,0.34,0.0,0.87,0.0
91,0.812,0,97,-0.429,0.342,0.39,0.596,-0.174,0.0,0.0,0.31,0.54,0.0,0.0,0.49,0.87,0.0,0.0,1.37,0.84,0.0,0.12,0.0,0.79,0.0
92,0.902,0,97,-0.409,0.32899999999999996,0.381,0.5670000000000001,-0.16699999999999998,0.0,0.0,0.67,0.08,0.0,0.0,0.52,0.85,0.0,0.0,1.19,0.93,0.0,0.0,0.0,1.07,0.0
93,0.992,0,97,-0.406,0.33,0.377,0.565,-0.177,0.0,0.0,0.36,0.07,0.0,0.05,0.7,0.55,0.0,0.0,1.67,1.23,0.0,0.13,0.0,1.45,0.02
94,1.083,0,97,-0.397,0.316,0.348,0.541,-0.16399999999999998,0.0,0.0,0.42,0.0,0.0,0.0,0.5,0.39,0.0,0.0,1.88,1.01,0.0,0.0,0.0,1.98,0.0
95,1.173,0,97,-0.397,0.312,0.34,0.536,-0.159,0.0,0.0,0.51,0.0,0.0,0.0,0.5,0.49,0.0,0.25,2.07,1.63,0.0,0.44,0.0,1.42,0.0
96,1.263,0,97,-0.385,0.298,0.32799999999999996,0.518,-0.152,0.0,0.0,0.02,0.0,0.0,0.0,0.71,0.63,0.0,0.23,1.71,1.61,0.0,0.35,0.0,1.7,0.0
97,1.3530000000000002,0,97,-0.37200000000000005,0.293,0.322,0.502,-0.151,0.0,0.0,0.6,0.0,0.0,0.0,0.73,0.62,0.0,0.26,1.41,1.22,0.0,0.05,0.0,1.12,0.0
98,1.444,0,97,-0.35100000000000003,0.29,0.304,0.47100000000000003,-0.141,0.0,0.0,0.34,0.0,0.0,0.0,0.52,0.16,0.0,0.0,1.53,1.42,0.0,0.0,0.0,2.32,0.0
99,1.534,0,97,-0.321,0.28800000000000003,0.298,0.42700000000000005,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.13,0.0,0.0,1.51,1.94,0.0,0.13,0.0,1.76,0.0
