,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,face_id,video
97,0.048523000000000004,0.185374,-0.981469,-0.22183899999999998,0.16560899999999998,-0.960917,-0.08900000000000001,0.179,-21.3,-3.2,236.7,-0.045,0.16399999999999998,0.08900000000000001,0.0,0.0,0.0,0.0,1.4,1.34,0.89,1.3,1.56,0.58,0.0,0.0,1.14,0.0,2.02,0.0,0.71,0,633
98,-0.002438,0.188436,-0.982082,-0.22796799999999998,0.17381300000000002,-0.9580290000000001,-0.11800000000000001,0.185,-21.3,-0.7,237.4,-0.043,0.18,0.091,0.0,0.0,0.07,0.0,1.36,1.73,0.86,1.51,1.61,0.72,0.0,0.0,0.91,0.0,2.07,0.07,0.82,0,633
99,-0.012603,0.19178299999999998,-0.9813559999999999,-0.18642,0.164771,-0.9685549999999999,-0.102,0.18100000000000002,-21.0,0.7,237.6,-0.05,0.18,0.091,0.0,0.0,0.05,0.0,1.49,1.85,0.8,1.99,1.81,1.26,0.0,0.0,0.53,0.0,2.28,0.37,0.94,0,633
100,0.10965699999999999,0.154245,-0.981929,-0.233612,0.163922,-0.958413,-0.064,0.163,-20.9,2.1,237.5,-0.061,0.182,0.08800000000000001,0.0,0.0,0.0,0.0,1.58,1.87,0.86,1.58,1.7,0.85,0.0,0.0,0.53,0.0,2.26,0.68,0.75,0,633
101,0.130951,0.160857,-0.978252,-0.244745,0.140329,-0.9593790000000001,-0.059000000000000004,0.154,-21.4,3.5,237.0,-0.059000000000000004,0.179,0.081,0.0,0.0,0.0,0.0,1.65,1.55,0.7,1.61,1.73,0.79,0.0,0.0,0.35,0.0,2.26,0.14,0.8,0,633
102,0.15748800000000002,0.141967,-0.9772629999999999,-0.237744,0.15335,-0.9591459999999999,-0.040999999999999995,0.151,-21.2,3.4,236.6,-0.063,0.177,0.079,0.0,0.0,0.0,0.0,1.63,2.41,0.65,1.66,1.83,0.49,0.0,0.0,0.58,0.0,2.37,0.09,0.63,0,633
103,0.07455099999999999,0.147601,-0.986233,-0.24949899999999997,0.126884,-0.9600270000000001,-0.09,0.14,-20.1,2.1,236.2,-0.067,0.17800000000000002,0.079,0.0,0.0,0.0,0.0,1.73,2.63,0.85,1.75,1.81,0.52,0.0,0.0,0.37,0.0,2.49,0.88,0.57,0,633
104,0.07824099999999999,0.172651,-0.9818709999999999,-0.23865799999999998,0.148122,-0.959741,-0.08199999999999999,0.16399999999999998,-18.5,0.1,235.8,-0.06,0.166,0.09,0.0,0.0,0.0,0.0,1.9,3.48,1.12,1.83,1.93,0.31,0.0,0.0,0.97,0.0,3.25,1.01,0.85,0,633
105,0.07350599999999999,0.272311,-0.959398,-0.23820100000000002,0.212286,-0.947732,-0.086,0.249,-15.0,-0.2,233.7,-0.067,0.149,0.105,0.0,0.0,0.25,0.0,2.0,2.29,1.62,1.67,1.71,1.01,0.0,0.0,1.02,0.0,3.64,0.75,1.05,0,633
106,0.08183,0.22189699999999998,-0.9716299999999999,-0.204768,0.15276099999999998,-0.966816,-0.063,0.191,-11.6,-3.0,235.5,-0.067,0.12,0.109,0.0,0.0,0.0,0.0,2.26,2.7,1.73,2.48,1.37,0.19,0.0,0.0,1.26,0.0,4.23,1.49,0.69,0,633
